"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	-0.752431	147.134	-0.313705	17.751	0	-0.343795	0.100172	0.275527	-0.401399	-13.2753	-12.3596	-13.1225	-12.512	-0.149746	-99.1851
0.0007	-1.34129	137.405	-0.61994	18.3206	-0.307039	3.60985	-0.816033	-1.55592	-0.401399	-12.6646	-12.3596	-13.5805	-13.2752	-0.149429	-36.9163
0.0013	-1.66843	106.226	-0.313705	20.7887	-0.307039	7.90729	-0.20523	-3.69531	-0.40757	-12.207	-11.7492	-12.665	-13.4278	-0.150273	-54.6256
0.0020	-1.66843	-1.75231	-0.00746916	23.2092	-0.307039	9.71221	0.100172	-5.52675	-0.401399	-12.8172	-11.5969	-12.0545	-12.6646	-0.150062	-59.0529
0.0027	-1.66843	-96.0749	0.597532	21.4057	-0.307039	7.90729	-0.510632	-6.44247	-0.401399	-13.2753	-12.3596	-13.2751	-12.9701	-0.149746	-53.1058
0.0033	-1.96286	-85.984	0.298766	13.1472	-0.307039	4.52663	-0.510632	-7.3582	-0.401399	-12.8172	-12.2072	-13.4276	-13.2752	-0.150273	-54.7798
0.0040	-1.34129	-34.1398	-0.00746916	0.332239	-0.307039	3.60985	-0.20523	-7.05025	-0.401399	-12.8172	-11.7492	-12.512	-12.512	-0.149429	-55.0882
0.0047	-1.66843	-18.2482	-0.313705	-12.1504	0	5.75857	-1.11899	-6.13453	-0.401399	-12.8172	-12.2072	-13.1225	-12.512	-0.149007	-54.6256
0.0053	-2.25729	-27.7348	-0.00746916	-19.5072	-0.614077	7.59214	-1.11899	-5.52675	-0.401399	-12.5121	-11.902	-13.2751	-13.1227	-0.150062	-54.6256
0.0060	-1.96286	-16.7376	0.597532	-22.877	-1.21678	6.67535	0.100172	-5.83469	-0.40757	-12.8172	-11.5969	-12.3595	-12.2069	-0.149429	-54.934
0.0067	-1.96286	14.0789	0.903768	-20.409	-0.307039	3.92499	1.01638	-6.44247	-0.40757	-12.8172	-11.5969	-12.512	-12.2069	-0.148691	-54.6256
0.0073	-1.96286	43.0827	0.298766	-13.0997	0	0.257846	-0.20523	-6.74231	-0.401399	-12.6646	-11.5969	-13.1225	-13.1227	-0.149746	-54.6256
0.0080	-1.34129	36.6777	-0.313705	-7.30925	0	-4.32609	-1.42439	-6.74231	-0.401399	-12.6646	-12.0544	-13.5805	-13.4278	-0.150062	-54.6256
0.0087	-1.04686	13.4747	-0.313705	-6.36	0.307039	-9.19652	-1.42439	-7.3582	-0.40757	-12.207	-12.3596	-13.5805	-13.2752	-0.149957	-54.4714
0.0093	-1.34129	41.572	-0.00746916	-9.11283	0.307039	-12.5485	-1.42439	-8.8817	-0.401399	-12.207	-11.902	-12.512	-12.6646	-0.150062	-54.934
0.0100	-2.58444	82.1169	0.298766	-10.6316	-0.307039	-11.9469	-2.3406	-9.48948	-0.401399	-12.5121	-11.5969	-12.207	-11.9018	-0.149113	-55.0882
0.0107	-2.87887	62.5998	0.298766	-8.82806	-0.307039	-8.88137	-2.646	-7.96598	-0.40757	-12.5121	-11.5969	-12.8175	-12.2069	-0.148586	-54.6256
0.0113	-1.96286	17.1606	-0.313705	-8.49582	0	-4.61258	-2.646	-6.13453	-0.401399	-12.5121	-11.2917	-12.665	-12.6646	-0.149746	-55.0882
0.0120	-1.66843	-2.7191	-0.313705	-9.11283	-0.307039	-0.65894	-2.3406	-5.21881	-0.401399	-12.5121	-10.9865	-12.512	-12.512	-0.149957	-55.3965
0.0127	-1.34129	10.4534	-0.00746916	-7.59403	-0.307039	2.69306	-1.72979	-4.61103	-0.401399	-12.0544	-11.4441	-12.8175	-12.512	-0.149324	-54.934
0.0133	-0.752431	31.179	-0.00746916	-5.45821	0.307039	4.24014	-0.816033	-4.30309	-0.401399	-12.207	-11.4441	-12.665	-12.512	-0.14964	-55.0882
0.0140	-0.425287	39.0946	-0.313705	-3.03761	0.307039	2.09142	-0.510632	-4.30309	-0.40757	-12.6646	-11.5969	-12.665	-12.3595	-0.14964	-55.2423
0.0147	-0.425287	36.6777	-0.313705	-0.901791	-0.614077	-0.65894	-0.510632	-3.38736	-0.40757	-12.3595	-11.7492	-13.1225	-12.512	-0.14964	-54.7798
0.0153	-0.425287	25.9825	-0.61994	0.664477	-0.909744	-1.26058	-0.510632	-2.77958	-0.40757	-11.7493	-11.1389	-12.8175	-12.3595	-0.149957	-54.7798
0.0160	-0.425287	9.48664	-0.313705	2.18328	-0.614077	-1.86222	-0.20523	-1.86386	-0.401399	-12.207	-11.5969	-12.8175	-12.3595	-0.149746	-54.934
0.0167	-0.425287	-3.32335	-0.313705	2.8003	-0.909744	-2.49251	0.405573	-1.55592	-0.401399	-12.0544	-11.7492	-12.8175	-12.512	-0.150062	-54.4714
0.0173	-1.04686	7.37179	-0.61994	1.23403	-1.52382	-4.01094	0.405573	-1.86386	-0.40757	-11.9019	-10.9865	-12.207	-12.0544	-0.150378	-54.7798
0.0180	-1.96286	23.2634	-0.313705	-0.569552	-0.909744	-4.32609	-0.20523	-1.86386	-0.40757	-12.6646	-11.7492	-13.1225	-12.3595	-0.149957	-55.2423
0.0187	-1.66843	-24.9553	0.298766	-2.4206	0	-0.65894	0.710975	-1.86386	-0.40757	-12.5121	-11.902	-13.4276	-12.9701	-0.150062	-54.4714
0.0193	-1.34129	-96.9813	0.298766	-4.55642	0.307039	3.60985	1.32178	-3.08753	-0.40757	-12.3595	-11.2917	-12.3595	-12.6646	-0.151011	-54.934
0.0200	-1.34129	-73.174	0.903768	-5.74298	-0.909744	4.84178	0.710975	-3.69531	-0.40757	-12.9702	-11.902	-12.512	-12.3595	-0.150273	-55.7049
0.0207	-1.66843	8.27815	0.298766	-5.45821	-2.1379	4.52663	-0.510632	-4.61103	-0.40757	-13.2753	-12.3596	-13.4276	-12.512	-0.14964	-54.4714
0.0213	-1.04686	29.9705	-0.313705	-4.55642	-2.44494	4.24014	-0.20523	-5.21881	-0.40757	-12.9702	-12.5124	-13.733	-13.1227	-0.150378	-53.8547
0.0220	-0.752431	-32.3271	-0.313705	-3.9394	0.614077	3.32335	1.32178	-5.21881	-0.40757	-13.1227	-12.6648	-13.8856	-13.1227	-0.150378	-54.6256
0.0227	-0.752431	-154.989	-0.313705	-4.55642	3.04764	2.09142	1.01638	-5.52675	-0.40757	-12.9702	-12.3596	-13.733	-13.1227	-0.149957	-54.4714
0.0233	-0.752431	-241.033	-0.61994	-6.36	2.1379	0.888137	0.100172	-6.13453	-0.40757	-12.5121	-12.0544	-13.5805	-13.2752	-0.150484	-53.7005
0.0240	-0.752431	-167.497	-0.313705	-6.36	0.307039	-0.65894	0.710975	-5.52675	-0.40757	-12.8172	-12.0544	-13.4276	-12.8176	-0.1508	-54.4714
0.0247	-0.752431	-5.74033	-0.00746916	-3.9394	-0.307039	-1.26058	1.62718	-4.61103	-0.401399	-12.9702	-11.902	-13.2751	-12.512	-0.150484	-55.0882
0.0253	-0.130858	64.1104	-0.313705	-1.80358	-0.307039	-0.65894	1.62718	-3.69531	-0.401399	-12.9702	-11.902	-13.1225	-12.512	-0.150378	-54.6256
0.0260	-0.425287	45.1975	-0.313705	0.949253	0.307039	-0.343795	1.32178	-2.77958	-0.40757	-12.8172	-11.902	-13.1225	-12.512	-0.150378	-54.4714
0.0267	-0.752431	29.9705	-0.00746916	3.70209	0.307039	-0.65894	1.62718	-2.1718	-0.40757	-12.9702	-11.7492	-12.8175	-12.3595	-0.150378	-54.6256
0.0273	-1.34129	29.6684	0.298766	5.22089	-0.614077	-1.86222	2.23798	-1.25608	-0.401399	-13.2753	-12.2072	-13.1225	-12.6646	-0.150378	-54.6256
0.0280	-1.66843	43.3848	-0.00746916	5.22089	-0.307039	-0.945436	1.62718	-0.032415	-0.401399	-13.1227	-12.2072	-13.4276	-12.9701	-0.150273	-54.4714
0.0287	-1.34129	52.5693	0.298766	3.98686	0.307039	1.48978	0.100172	1.19125	-0.401399	-12.6646	-11.5969	-12.97	-12.6646	-0.150378	-54.6256
0.0293	-0.752431	44.8954	0.597532	3.36985	0	2.09142	0.100172	2.40681	-0.401399	-12.5121	-11.5969	-12.8175	-12.512	-0.150484	-54.934
0.0300	-0.425287	37.584	0.298766	2.46806	0.307039	0.888137	0.405573	2.71475	-0.401399	-12.207	-11.4441	-12.8175	-12.6646	-0.150484	-54.6256
0.0307	-0.130858	27.7953	-0.00746916	1.85104	0.614077	-0.343795	-0.816033	2.40681	-0.401399	-12.207	-11.4441	-12.512	-12.2069	-0.150273	-54.3172
0.0313	0.163572	13.7768	-0.00746916	1.85104	0.921116	-2.17737	-0.510632	1.79903	-0.401399	-12.3595	-11.4441	-12.8175	-12.2069	-0.150273	-54.4714
0.0320	-0.425287	2.4774	0.597532	0.332239	0.921116	-4.01094	0.405573	2.10697	-0.401399	-12.207	-10.9865	-13.1225	-12.6646	-0.151117	-54.7798
0.0327	-1.04686	-5.4382	0.597532	-1.18657	0.307039	-5.84452	0.405573	3.0227	-0.401399	-11.9019	-10.6813	-12.665	-12.512	-0.151117	-54.3172
0.0333	-1.04686	-11.239	0.298766	-2.4206	-0.614077	-7.67809	0.405573	4.23826	-0.40757	-12.3595	-11.4441	-12.665	-12.2069	-0.150484	-54.3172
0.0340	-0.425287	-15.227	-0.313705	-3.03761	-0.909744	-9.51166	-0.510632	3.63048	-0.40757	-12.6646	-11.5969	-12.97	-12.512	-0.150484	-54.7798
0.0347	-0.130858	-18.2482	-0.313705	-3.60716	-1.21678	-11.9469	-0.510632	3.32253	-0.40757	-12.207	-11.7492	-13.1225	-12.9701	-0.151011	-54.6256
0.0353	-0.752431	-22.2362	-0.00746916	-3.9394	-1.21678	-12.5485	-0.510632	3.93842	-0.401399	-12.0544	-12.0544	-13.1225	-12.512	-0.151433	-54.4714
0.0360	-1.04686	-25.5596	-0.313705	-3.32239	0.307039	-12.5485	-1.72979	3.0227	-0.401399	-12.3595	-11.7492	-12.97	-12.2069	-0.151327	-54.7798
0.0367	-0.425287	-22.2362	-0.61994	-2.70537	1.21678	-12.8637	-1.72979	1.79903	-0.40757	-12.6646	-11.7492	-13.1225	-12.512	-0.1508	-54.7798
0.0373	0.490716	-15.5291	-0.61994	-1.47134	1.21678	-12.8637	-0.510632	1.49109	-0.40757	-12.6646	-11.7492	-12.97	-12.512	-0.151327	-54.6256
0.0380	-0.130858	-5.4382	-1.23241	0.0474627	1.83086	-12.8637	-0.20523	1.19125	-0.401399	-12.6646	-11.7492	-12.8175	-12.512	-0.151433	-54.934
0.0387	-0.425287	16.5563	-0.926175	0.332239	1.52382	-11.3452	-0.816033	0.883308	-0.401399	-12.6646	-12.2072	-13.2751	-12.8176	-0.151117	-54.6256
0.0393	0.163572	31.7833	-0.00746916	1.23403	-1.83086	-9.19652	-0.816033	0.883308	-0.401399	-12.5121	-12.0544	-13.1225	-12.9701	-0.151327	-54.3172
0.0400	0.163572	21.6924	0.298766	2.8003	-3.96876	-10.1133	-0.816033	2.10697	-0.401399	-12.5121	-11.7492	-12.512	-12.3595	-0.151327	-54.6256
0.0407	-0.130858	8.27815	0.597532	3.98686	-2.44494	-6.13101	-0.816033	3.0227	-0.40757	-12.8172	-12.2072	-13.2751	-12.8176	-0.151433	-54.6256
0.0413	0.163572	9.48664	0.597532	5.22089	0.614077	6.9905	-0.816033	3.63048	-0.401399	-12.3595	-12.0544	-13.733	-13.5804	-0.152382	-54.4714
0.0420	0.490716	14.0789	-0.00746916	6.12268	2.1379	14.2961	-0.816033	4.85414	-0.401399	-12.5121	-11.7492	-13.1225	-12.8176	-0.151855	-54.6256
0.0427	0.163572	13.7768	-0.00746916	6.45492	2.1379	10.0274	-1.42439	5.15398	-0.40757	-13.1227	-12.0544	-13.2751	-12.8176	-0.151749	-54.0089
0.0433	0.163572	17.1606	0.298766	5.83791	1.52382	5.44342	-2.3406	4.85414	-0.401399	-12.8172	-11.4441	-13.1225	-13.1227	-0.152487	-54.4714
0.0440	0.490716	26.8889	-0.00746916	4.3191	-3.96876	4.84178	-2.3406	5.15398	-0.401399	-13.4278	-11.902	-12.665	-12.512	-0.151855	-55.5507
0.0447	1.07958	35.167	-0.926175	3.36985	-8.24456	4.52663	-1.11899	5.15398	-0.40757	-13.5804	-12.5124	-13.2751	-12.8176	-0.151644	-54.934
0.0453	2.32272	38.7925	-0.926175	2.18328	0.307039	3.60985	-0.20523	4.23826	-0.40757	-12.6646	-11.7492	-13.2751	-12.9701	-0.151855	-54.163
0.0460	1.99558	40.9678	-0.313705	0.332239	10.0754	2.69306	-0.510632	5.15398	-0.40757	-12.6646	-11.7492	-12.8175	-12.512	-0.151117	-54.6256
0.0467	1.07958	42.7805	-0.313705	-0.569552	5.18554	2.09142	-0.20523	6.67748	-0.401399	-12.9702	-11.902	-12.97	-12.6646	-0.151433	-54.4714
0.0473	0.490716	41.2699	-0.313705	-1.47134	-4.58284	1.80492	0.405573	6.67748	-0.401399	-12.6646	-11.902	-13.4276	-13.1227	-0.152171	-54.3172
0.0480	1.07958	42.7805	-0.313705	-3.32239	-6.10666	0.572992	0.405573	5.76986	-0.401399	-12.6646	-12.3596	-13.733	-12.9701	-0.151749	-54.3172
0.0487	1.40672	21.6924	-0.61994	-4.22418	-3.04764	0.257846	0.710975	4.85414	-0.401399	-12.6646	-12.0544	-13.1225	-12.6646	-0.151749	-54.4714
0.0493	1.70115	-88.7636	-0.61994	-5.17343	-1.52382	0.888137	0.710975	2.71475	-0.401399	-12.8172	-11.902	-12.8175	-12.6646	-0.151749	-54.6256
0.0500	1.70115	-205.624	-0.313705	-7.30925	-1.52382	0.257846	0.405573	0.275527	-0.401399	-12.5121	-11.902	-13.4276	-12.6646	-0.151117	-54.163
0.0507	1.07958	-196.5	-0.61994	-8.49582	-1.21678	-1.26058	1.01638	-1.25608	-0.40757	-12.3595	-11.5969	-13.2751	-12.6646	-0.151327	-54.0089
0.0513	-0.130858	-118.674	-1.23241	-7.59403	-0.614077	-2.49251	1.32178	-1.55592	-0.401399	-12.6646	-11.7492	-12.97	-12.8176	-0.152171	-54.6256
0.0520	-1.34129	-37.4632	-0.61994	-4.55642	-0.909744	-1.26058	1.01638	-1.55592	-0.401399	-12.3595	-11.902	-12.97	-12.6646	-0.152171	-54.4714
0.0527	-1.96286	9.78876	0.298766	-1.18657	-0.307039	0.572992	1.01638	-0.340357	-0.401399	-12.207	-11.5969	-12.97	-12.3595	-0.152171	-54.7798
0.0533	-1.34129	0.362547	-0.313705	0.664477	-0.307039	2.09142	1.62718	0.575366	-0.401399	-12.5121	-11.2917	-12.8175	-12.2069	-0.152382	-55.5507
0.0540	-1.34129	-26.8285	-0.926175	1.56627	-1.21678	1.17463	1.62718	0.883308	-0.40757	-12.207	-11.2917	-12.512	-12.2069	-0.151749	-55.0882
0.0547	-0.425287	-38.0674	-0.00746916	3.08507	-0.909744	-2.17737	0.405573	2.10697	-0.401399	-12.207	-11.5969	-12.665	-12.3595	-0.151749	-54.4714
0.0553	0.490716	-61.8747	-0.00746916	2.18328	-0.307039	-5.21422	-0.510632	2.40681	-0.401399	-12.207	-11.5969	-12.97	-12.512	-0.152066	-54.4714
0.0560	-0.130858	-181.213	-0.61994	-0.284776	-0.909744	-4.92773	-0.816033	0.883308	-0.401399	-12.0544	-11.5969	-13.1225	-12.3595	-0.152066	-54.3172
0.0567	0.785146	-263.632	-0.61994	-1.18657	-0.909744	-2.77901	-0.816033	0.575366	-0.395365	-12.207	-11.5969	-12.97	-12.3595	-0.152171	-54.163
0.0573	1.40672	-181.817	-0.926175	-1.18657	-0.909744	-1.57573	-0.20523	1.79903	-0.401399	-12.5121	-11.4441	-12.97	-12.512	-0.152382	-54.163
0.0580	0.490716	-109.187	-1.53865	-3.03761	-0.909744	0.257846	0.710975	1.19125	-0.401399	-12.6646	-11.902	-13.2751	-12.6646	-0.152382	-54.6256
0.0587	-0.130858	-59.1556	-1.23241	-3.9394	-0.909744	1.48978	1.01638	-0.340357	-0.401399	-12.6646	-11.902	-12.97	-12.512	-0.152382	-54.6256
0.0593	0.163572	47.3728	-0.61994	-2.08836	-0.307039	2.09142	0.405573	-0.948138	-0.401399	-12.6646	-11.4441	-12.8175	-12.6646	-0.152171	-54.163
0.0600	-0.130858	133.417	-0.313705	0.0474627	0.307039	2.09142	-0.510632	-0.948138	-0.40757	-12.6646	-11.7492	-13.1225	-12.9701	-0.152382	-54.163
0.0607	0.163572	180.125	-0.00746916	1.85104	0	0.888137	-0.510632	0.275527	-0.40757	-12.9702	-12.2072	-12.97	-12.8176	-0.152698	-54.7798
0.0613	0.163572	173.116	-0.61994	3.70209	-0.614077	-0.65894	-0.20523	0.883308	-0.401399	-12.9702	-12.3596	-13.2751	-12.8176	-0.152804	-54.934
0.0620	0.163572	105.32	-0.61994	3.70209	-1.21678	-0.945436	0.405573	0.575366	-0.395365	-12.6646	-12.2072	-13.2751	-12.8176	-0.153015	-54.6256
0.0627	0.490716	48.2792	0.597532	2.8003	-0.909744	-3.4093	0.405573	0.275527	-0.401399	-12.8172	-11.902	-12.8175	-12.6646	-0.152698	-54.4714
0.0633	0.163572	29.0642	0.903768	2.8003	-0.614077	-4.61258	-0.816033	1.19125	-0.40757	-12.9702	-12.0544	-12.97	-12.9701	-0.153015	-54.934
0.0640	0.490716	30.8769	0.597532	2.8003	-0.307039	-0.343795	-1.72979	1.49109	-0.401399	-12.8172	-12.2072	-13.5805	-13.1227	-0.15312	-54.4714
0.0647	1.07958	30.5748	0.298766	2.18328	-0.307039	5.44342	-1.72979	0.575366	-0.395365	-12.3595	-12.0544	-13.4276	-12.9701	-0.153015	-54.0089
0.0653	1.07958	24.774	-0.313705	1.85104	-0.307039	8.50893	-1.42439	-0.032415	-0.40757	-12.8172	-11.902	-12.8175	-12.512	-0.152804	-54.934
0.0660	1.07958	28.1578	-0.61994	-0.284776	-0.614077	10.0274	-2.0352	-0.948138	-0.401399	-13.2753	-12.0544	-12.8175	-12.0544	-0.152487	-55.2423
0.0667	0.785146	12.2662	-0.313705	-4.22418	0	10.629	-1.72979	-2.1718	-0.401399	-12.5121	-11.902	-12.8175	-12.3595	-0.152487	-54.163
0.0673	0.490716	-31.9645	0.298766	-7.8788	1.21678	11.2593	-0.20523	-1.86386	-0.40757	-12.207	-12.0544	-12.97	-12.9701	-0.153015	-54.0089
0.0680	0.785146	-67.9775	0.298766	-10.3469	1.83086	11.5458	1.32178	-0.948138	-0.401399	-12.5121	-12.2072	-13.2751	-13.1227	-0.153226	-54.6256
0.0687	0.163572	-86.2862	-0.00746916	-12.1504	1.21678	10.3425	1.32178	-0.640196	-0.395365	-12.3595	-12.0544	-13.1225	-12.6646	-0.153015	-54.4714
0.0693	-0.752431	-103.386	-0.00746916	-14.9033	0.614077	7.59214	0.710975	-0.032415	-0.40757	-12.3595	-11.902	-12.8175	-12.512	-0.152804	-54.3172
0.0700	-0.425287	-111.967	-0.61994	-17.6561	0.307039	-0.343795	-0.510632	1.79903	-0.40757	-12.5121	-11.7492	-12.8175	-12.512	-0.153437	-54.6256
0.0707	0.163572	-107.072	-0.926175	-16.1373	0	-11.0301	-0.510632	3.0227	-0.40757	-12.3595	-11.4441	-12.8175	-12.3595	-0.152698	-54.4714
0.0713	0.785146	-129.067	-0.313705	-13.0997	-0.909744	-13.7805	0.100172	2.40681	-0.40757	-12.5121	-11.4441	-12.665	-12.2069	-0.152487	-54.6256
0.0720	1.07958	-169.612	-0.00746916	-12.4827	-0.909744	-8.27973	-0.510632	1.79903	-0.40757	-12.8172	-11.7492	-12.8175	-12.0544	-0.153226	-55.0882
0.0727	0.490716	-208.706	-0.61994	-12.1504	-1.21678	-4.01094	-1.11899	1.49109	-0.401399	-12.6646	-11.7492	-12.97	-12.3595	-0.15312	-54.7798
0.0733	0.163572	-248.042	-0.926175	-11.8657	-3.04764	-1.57573	-1.72979	0.275527	-0.401399	-12.207	-11.4441	-12.8175	-12.8176	-0.153753	-54.3172
0.0740	0.785146	-247.74	-0.926175	-11.2487	-4.58284	0.257846	-2.9514	-2.1718	-0.401399	-12.3595	-11.2917	-12.512	-12.2069	-0.153542	-54.6256
0.0747	1.40672	-218.434	-0.926175	-10.9639	-3.35468	2.09142	-3.5622	-4.30309	-0.40757	-12.5121	-11.5969	-12.665	-12.2069	-0.15312	-54.4714
0.0753	1.40672	-162.3	-0.926175	-9.44507	-2.44494	3.60985	-2.9514	-4.91897	-0.40757	-12.0544	-11.4441	-13.1225	-12.6646	-0.153542	-54.163
0.0760	1.70115	-11.5411	-0.926175	-6.07522	-3.35468	3.32335	-2.3406	-3.69531	-0.40757	-12.207	-11.5969	-12.97	-12.6646	-0.153753	-54.6256
0.0767	1.40672	146.529	-1.53865	-1.47134	-3.96876	0.257846	-1.72979	-3.38736	-0.40757	-12.6646	-12.0544	-12.8175	-12.3595	-0.153753	-54.934
0.0773	1.99558	166.953	-1.53865	5.22089	-3.35468	-1.57573	-1.42439	-3.38736	-0.413604	-12.6646	-11.902	-12.97	-12.3595	-0.154175	-54.934
0.0780	2.91158	115.411	-1.23241	14.3812	-4.58284	-1.26058	-1.42439	-2.1718	-0.413604	-12.207	-11.4441	-12.8175	-12.6646	-0.154069	-54.3172
0.0787	1.40672	95.2894	-0.61994	21.0734	-7.0164	-2.49251	-1.42439	-0.948138	-0.40757	-12.207	-11.2917	-12.512	-12.3595	-0.153858	-53.8547
0.0793	-1.96286	94.3226	1.21	21.4057	-3.04764	-3.4093	-1.72979	-0.340357	-0.40757	-12.8172	-11.902	-12.97	-12.512	-0.154069	-54.3172
0.0800	-4.0893	72.0864	3.03995	16.517	3.96876	-4.01094	-2.0352	-0.032415	-0.413604	-12.6646	-11.902	-12.97	-12.8176	-0.154386	-54.6256
0.0807	-3.1733	72.6906	1.51624	17.134	7.0164	-5.21422	-2.0352	1.19125	-0.413604	-12.5121	-11.4441	-12.97	-12.512	-0.154491	-54.6256
0.0813	-1.04686	114.807	-0.61994	25.9621	10.0754	-6.13101	-0.816033	2.40681	-0.413604	-13.2753	-12.5124	-13.4276	-12.9701	-0.154491	-54.7798
0.0820	0.490716	102.903	-0.926175	32.3695	12.2019	-6.44616	-0.20523	2.71475	-0.413604	-12.8172	-12.5124	-13.5805	-13.4278	-0.154807	-54.163
0.0827	0.490716	22.9613	-0.00746916	31.7525	11.5992	-6.13101	-0.20523	3.0227	-0.413604	-12.3595	-11.1389	-13.1225	-12.9701	-0.155229	-54.4714
0.0833	-0.425287	-45.4392	-0.313705	28.4301	9.46134	-4.92773	-0.20523	2.71475	-0.40757	-12.8172	-11.7492	-12.8175	-12.3595	-0.155229	-55.2423
0.0840	-0.425287	-67.0712	-0.926175	25.6773	4.2758	-2.49251	-0.20523	1.19125	-0.413604	-12.8172	-12.2072	-12.8175	-12.3595	-0.154702	-54.6256
0.0847	0.163572	-72.8719	-0.61994	26.2943	-0.909744	0.572992	0.405573	-0.340357	-0.413604	-12.5121	-11.902	-13.1225	-12.8176	-0.154491	-54.163
0.0853	0.163572	-71.9656	-0.313705	27.1961	-1.52382	3.32335	0.405573	-0.948138	-0.40757	-12.8172	-12.2072	-13.4276	-12.9701	-0.155229	-54.934
0.0860	-0.130858	-12.1453	-0.61994	26.2943	0.307039	4.24014	-0.20523	-1.55592	-0.40757	-13.1227	-12.2072	-13.2751	-12.8176	-0.155124	-54.6256
0.0867	-0.425287	107.797	-0.926175	23.5415	1.83086	2.40657	-0.816033	-2.1718	-0.419775	-12.3595	-11.2917	-13.2751	-12.9701	-0.154702	-53.4141
0.0873	-0.752431	206.35	-0.61994	13.4794	1.52382	-0.343795	-1.11899	-3.08753	-0.419775	-12.0544	-11.4441	-13.2751	-12.9701	-0.154807	-53.5683
0.0880	-0.425287	189.854	-0.313705	-8.21104	0.614077	0.572992	-1.42439	-3.38736	-0.413604	-12.9702	-12.0544	-13.1225	-12.6646	-0.154807	-54.7798
0.0887	-1.04686	48.8834	-0.313705	-33.5561	-0.614077	3.60985	-1.11899	-3.08753	-0.40757	-13.1227	-12.0544	-12.97	-12.3595	-0.155124	-55.2423
0.0893	-1.66843	-17.3418	-0.61994	-46.371	-1.83086	5.75857	-1.42439	-3.38736	-0.413604	-12.5121	-11.902	-12.8175	-12.2069	-0.155229	-54.7798
0.0900	-1.04686	98.3106	-0.61994	-44.52	-1.21678	7.27699	-1.42439	-3.69531	-0.419775	-12.207	-11.902	-12.97	-12.512	-0.155229	-54.4714
0.0907	-0.752431	193.237	-0.313705	-37.4955	-0.307039	4.52663	-0.816033	-2.77958	-0.413604	-12.6646	-11.902	-12.97	-12.3595	-0.154807	-54.3172
0.0913	-1.04686	185.322	-0.00746916	-28.6675	0.307039	-0.343795	-0.510632	-1.86386	-0.40757	-12.8172	-11.5969	-12.665	-12.512	-0.155229	-54.6256
0.0920	-1.04686	143.206	-0.00746916	-20.1242	0.307039	-1.26058	-0.510632	-0.640196	-0.413604	-12.207	-11.5969	-12.97	-13.1227	-0.156073	-54.934
0.0927	-0.425287	72.0864	-0.00746916	-14.2863	0	-1.57573	-1.42439	-0.032415	-0.419775	-11.7493	-11.4441	-13.2751	-13.1227	-0.156178	-54.4714
0.0933	-0.130858	31.179	-0.00746916	-12.1504	-0.307039	-3.4093	-1.72979	-1.55592	-0.419775	-12.207	-11.1389	-12.97	-12.3595	-0.156178	-54.934
0.0940	0.163572	64.4729	-0.313705	-12.1504	-0.614077	-3.6958	-0.510632	-2.47164	-0.413604	-12.5121	-11.5969	-12.8175	-12.2069	-0.155546	-55.0882
0.0947	-0.425287	115.411	0.298766	-11.2487	-0.909744	-5.21422	0.405573	-1.86386	-0.40757	-12.207	-11.902	-13.1225	-12.8176	-0.155757	-54.7798
0.0953	-1.34129	158.735	0.298766	-8.21104	-1.52382	-7.96458	0.100172	0.575366	-0.413604	-12.0544	-11.5969	-12.97	-12.8176	-0.156178	-54.6256
0.0960	-0.752431	146.529	-0.00746916	-4.84119	-1.83086	-7.67809	0.405573	2.10697	-0.419775	-12.207	-11.4441	-12.8175	-12.6646	-0.156073	-54.3172
0.0967	-0.752431	77.8872	-0.00746916	-3.03761	-1.83086	-7.36294	0.405573	1.79903	-0.413604	-12.207	-11.5969	-12.8175	-12.6646	-0.156073	-54.163
0.0973	-0.752431	95.5915	-0.313705	-1.18657	-2.1379	-8.59488	0.100172	1.79903	-0.413604	-12.207	-11.7492	-12.97	-12.512	-0.156284	-54.163
0.0980	-0.752431	162.119	-0.313705	1.23403	-3.04764	-6.44616	0.100172	3.32253	-0.413604	-12.5121	-11.7492	-12.97	-12.6646	-0.1566	-54.7798
0.0987	-0.752431	122.722	-0.313705	3.36985	-3.35468	-0.65894	0.100172	3.63048	-0.413604	-13.1227	-12.0544	-12.97	-12.6646	-0.156495	-54.934
0.0993	-0.425287	40.3636	-0.313705	4.60388	0	2.69306	0.405573	2.10697	-0.40757	-12.9702	-12.3596	-13.2751	-12.9701	-0.1566	-53.8547
0.1000	-0.130858	20.4839	-0.313705	4.3191	4.58284	2.09142	1.01638	1.79903	-0.40757	-12.5121	-12.2072	-13.4276	-13.4278	-0.157549	-54.163
0.1007	-0.752431	23.8677	-0.00746916	3.36985	4.58284	1.17463	1.32178	2.40681	-0.413604	-12.9702	-12.0544	-13.1225	-12.8176	-0.157866	-55.3965
0.1013	-0.425287	26.2846	-0.00746916	3.36985	3.04764	-0.945436	1.93258	2.10697	-0.413604	-13.2753	-12.3596	-13.4276	-12.512	-0.157127	-54.934
